time,amp,sigma,band
9.0033,1.6738,0.0058,b4
9.0086,1.6728,0.0054,b4
9.0136,1.682,0.0054,b4
9.0186,1.6584,0.0059,b4
9.0236,1.7002,0.0044,b4
9.0692,1.6614,0.0048,b4
9.0742,1.6157,0.0067,b4
9.0792,1.6408,0.0044,b4
9.0842,1.623,0.0045,b4
9.0894,1.667,0.0042,b4
9.0944,1.6576,0.0044,b4
9.0994,1.6676,0.004,b4
9.3419,1.6573,0.0043,b4
9.3469,1.6485,0.0047,b4
9.4175,1.7276,0.004,b4
9.4367,1.7621,0.0045,b4
9.4428,1.7797,0.0043,b4
9.4481,1.7801,0.0051,b4
9.4833,1.7738,0.0044,b4
9.4872,1.7482,0.0059,b4
9.9339,1.8327,0.0048,b4
9.9378,1.8515,0.004,b4
9.9433,1.842,0.0045,b4
9.9983,1.8822,0.0041,b4
10.0033,1.8633,0.0049,b4
10.0094,1.8897,0.0041,b4
10.0147,1.9047,0.0046,b4
10.1639,2.0938,0.0048,b4
10.2061,2.1638,0.0041,b4
10.2111,2.164,0.0045,b4
10.2161,2.1718,0.0044,b4
10.2464,2.1932,0.0041,b4
10.2514,2.2019,0.0042,b4
10.3225,2.2368,0.0049,b4
10.3275,2.2477,0.0046,b4
10.3339,2.2755,0.0042,b4
10.3383,2.2719,0.0044,b4
10.3439,2.2823,0.0041,b4
10.3489,2.2962,0.0044,b4
10.3539,2.2986,0.0044,b4
10.3589,2.286,0.0045,b4
10.3636,2.3023,0.004,b4
10.3692,2.3084,0.0041,b4
10.3742,2.3214,0.0041,b4
10.3792,2.2991,0.005,b4
10.3842,2.2978,0.0055,b4
10.3878,2.3279,0.0048,b4
10.3939,2.3361,0.0045,b4
10.3989,2.3436,0.0042,b4
10.4044,2.3525,0.0039,b4
10.4094,2.3494,0.0042,b4
10.4142,2.3488,0.0048,b4
10.4197,2.347,0.0048,b4
10.4247,2.3794,0.0042,b4
10.4297,2.3717,0.0047,b4
10.4347,2.3797,0.0041,b4
10.44,2.3726,0.0042,b4
10.72,2.4221,0.0044,b4
10.7253,2.4298,0.004,b4
10.7303,2.4447,0.0048,b4
10.7347,2.4359,0.0047,b4
10.7403,2.4046,0.0053,b4
10.7453,2.446,0.0047,b4
10.7506,2.4344,0.0045,b4
10.7556,2.4626,0.0038,b4
10.7606,2.4727,0.0044,b4
10.7656,2.4712,0.004,b4
10.7706,2.4854,0.0042,b4
10.7756,2.4876,0.0047,b4
10.7797,2.4915,0.0046,b4
10.7853,2.4676,0.0049,b4
10.7897,2.4928,0.0043,b4
10.7947,2.5015,0.005,b4
10.8008,2.5203,0.0041,b4
10.8061,2.519,0.0045,b4
10.8111,2.5165,0.0044,b4
10.8161,2.5202,0.0042,b4
10.8211,2.5224,0.0041,b4
10.8256,2.5251,0.0042,b4
10.8314,2.525,0.0042,b4
10.8867,2.5318,0.0038,b4
10.8919,2.4712,0.0065,b4
10.8969,2.5378,0.0039,b4
10.9019,2.5463,0.0037,b4
10.9064,2.5561,0.0039,b4
10.9119,2.5623,0.0038,b4
10.9167,2.5621,0.0038,b4
10.9222,2.5632,0.005,b4
10.9272,2.4708,0.0064,b4
10.9322,2.5215,0.0058,b4
10.9372,2.5363,0.0044,b4
10.9422,2.567,0.0042,b4
10.9475,2.5564,0.0046,b4
10.9508,2.585,0.0043,b4
10.9569,2.588,0.0039,b4
10.9619,2.5915,0.0048,b4
10.9658,2.5737,0.0043,b4
10.9728,2.5854,0.0047,b4
10.9778,2.536,0.006,b4
10.9822,2.5737,0.0044,b4
10.9878,2.5779,0.004,b4
10.9928,2.5718,0.0044,b4
10.9981,2.5772,0.0039,b4
11.0031,2.5666,0.004,b4
11.0075,2.5418,0.0049,b4
11.0131,2.539,0.005,b4
11.0181,2.5352,0.005,b4
11.0233,2.5216,0.0044,b4
11.0283,2.5209,0.0053,b4
11.0328,2.48,0.0052,b4
11.0372,2.4825,0.0078,b4
11.0428,2.4784,0.0062,b4
11.0481,2.5132,0.0047,b4
11.1033,2.3935,0.0056,b4
11.1086,2.4255,0.0043,b4
11.1136,2.4377,0.0042,b4
11.1181,2.4371,0.004,b4
11.1231,2.4199,0.0045,b4
11.1286,2.4031,0.0041,b4
11.1339,2.3956,0.0036,b4
11.1389,2.3938,0.004,b4
11.1439,2.3843,0.0041,b4
11.1489,2.3758,0.0041,b4
11.1533,2.3593,0.004,b4
11.1583,2.3373,0.0044,b4
11.1642,2.3251,0.0038,b4
