time,amp,sigma,band
4.9283,2.3983,0.0075,b3
4.9336,2.3816,0.0098,b3
4.9386,2.4088,0.008,b3
4.9436,2.4211,0.0076,b3
4.9486,2.4047,0.0071,b3
4.9531,2.3992,0.0092,b3
4.9589,2.4236,0.0088,b3
4.9639,2.4197,0.0069,b3
4.9689,2.4459,0.0075,b3
4.9739,2.4353,0.0067,b3
4.9789,2.4346,0.0069,b3
4.9833,2.4517,0.0074,b3
4.9892,2.4414,0.0081,b3
4.9942,2.4329,0.0081,b3
4.9992,2.465,0.0075,b3
5.0042,2.4647,0.0075,b3
5.0092,2.4757,0.007,b3
5.0144,2.4584,0.0076,b3
5.0194,2.4705,0.0071,b3
5.0244,2.4777,0.0073,b3
5.0294,2.4966,0.0078,b3
5.0344,2.4782,0.0067,b3
5.0392,2.4919,0.0079,b3
5.0447,2.4552,0.0083,b3
5.0497,2.4807,0.008,b3
5.0547,2.4891,0.0072,b3
5.0597,2.4641,0.0076,b3
5.1117,2.4671,0.0072,b3
5.1164,2.4701,0.0074,b3
5.1219,2.4169,0.0066,b3
5.1269,2.4504,0.0074,b3
5.1319,2.4425,0.0076,b3
5.1369,2.4489,0.0076,b3
5.1422,2.4244,0.0071,b3
5.1461,2.4508,0.009,b3
5.1522,2.4404,0.0067,b3
5.1572,2.4409,0.0062,b3
5.1617,2.4524,0.008,b3
5.1672,2.4371,0.0081,b3
5.1719,2.4286,0.0073,b3
5.1769,2.4201,0.0081,b3
5.1825,2.4535,0.0073,b3
5.1875,2.4179,0.0078,b3
5.1925,2.4516,0.0072,b3
5.1978,2.433,0.0064,b3
5.2028,2.4433,0.0075,b3
5.2078,2.4311,0.0069,b3
5.2128,2.4232,0.007,b3
5.2178,2.4317,0.0078,b3
6.045,2.411,0.0063,b3
6.0503,2.4115,0.0064,b3
6.0553,2.3745,0.0062,b3
6.0603,2.3764,0.0074,b3
6.0653,2.4033,0.0091,b3
6.0703,2.4163,0.0061,b3
6.0756,2.4107,0.0058,b3
6.0806,2.4127,0.0064,b3
6.0856,2.3738,0.0063,b3
6.0906,2.3067,0.008,b3
6.0956,2.4076,0.0064,b3
6.1006,2.3444,0.0088,b3
6.1058,2.3723,0.0082,b3
6.1108,2.3819,0.0082,b3
6.1153,2.4119,0.0064,b3
6.1208,2.3633,0.0058,b3
6.1253,2.3863,0.0066,b3
6.1311,2.3735,0.0067,b3
6.1361,2.3832,0.0066,b3
6.1411,2.3923,0.0092,b3
6.1461,2.3783,0.0064,b3
6.1511,2.3585,0.007,b3
6.1933,2.4023,0.0064,b3
6.1983,2.3888,0.0066,b3
6.2033,2.4061,0.0064,b3
6.2086,2.3813,0.0076,b3
6.2136,2.368,0.0072,b3
6.2186,2.3968,0.0067,b3
6.2236,2.372,0.0066,b3
6.2286,2.3843,0.007,b3
6.2339,2.3469,0.0061,b3
6.2389,2.3134,0.0059,b3
6.2439,2.3461,0.0059,b3
6.2489,2.3554,0.0055,b3
6.2539,2.2843,0.0088,b3
6.2578,2.3109,0.0085,b3
6.2642,2.3124,0.0088,b3
6.2692,2.3577,0.0071,b3
6.2742,2.3158,0.0077,b3
6.2792,2.3454,0.0064,b3
6.2842,2.3456,0.0067,b3
6.2894,2.3486,0.0064,b3
6.2944,2.3279,0.0067,b3
6.2994,2.3312,0.0067,b3
6.3044,2.2973,0.0083,b3
6.3094,2.3044,0.0084,b3
6.3147,2.3056,0.0068,b3
6.3197,2.2514,0.0064,b3
6.3247,2.26,0.0099,b3
6.3297,2.248,0.0072,b3
6.3347,2.259,0.0062,b3
6.5783,2.3408,0.007,b3
6.5836,2.3236,0.0065,b3
6.5886,2.3246,0.0063,b3
6.5936,2.3114,0.0065,b3
6.5986,2.3284,0.0061,b3
6.6036,2.3238,0.0065,b3
6.6089,2.3266,0.006,b3
6.6139,2.324,0.0062,b3
6.6189,2.3286,0.0061,b3
6.6239,2.3343,0.006,b3
6.6289,2.3305,0.0071,b3
6.6339,2.3215,0.0068,b3
6.6392,2.3247,0.0056,b3
6.6442,2.3311,0.0062,b3
6.6486,2.3315,0.0063,b3
6.6542,2.3337,0.0058,b3
6.6586,2.3131,0.0062,b3
6.6644,2.3041,0.0074,b3
6.6694,2.3286,0.007,b3
6.6744,2.3034,0.0066,b3
6.6794,2.3165,0.0059,b3
6.6844,2.2557,0.0088,b3
6.6892,2.2814,0.0074,b3
6.6942,2.3059,0.006,b3
6.6997,2.2994,0.006,b3
6.7047,2.2747,0.0064,b3
6.7092,2.2869,0.0066,b3
6.715,2.2855,0.0066,b3
6.77,2.325,0.0062,b3
6.7753,2.2798,0.006,b3
6.7803,2.3125,0.0059,b3
6.7853,2.2941,0.0066,b3
6.7903,2.289,0.0064,b3
6.7953,2.2969,0.0062,b3
6.8006,2.2721,0.007,b3
6.8056,2.2829,0.0063,b3
6.8106,2.2358,0.007,b3
