time,amp,sigma
11.300556,2.157972,0.14203
11.318657,2.266941,0.133938
11.353056,2.263649,0.134526
11.387454,2.275397,0.124844
11.404676,2.301163,0.078748
11.417593,2.448674,0.12576
11.559583,2.425861,0.109571
11.576713,2.363365,0.083446
11.593935,2.35913,0.099593
11.611157,2.241927,0.109497
11.645602,2.134504,0.075091
11.662824,2.029264,0.074546
11.714398,2.279657,0.092175
11.73162,2.122979,0.057802
11.748889,2.256316,0.084895
11.783194,2.21253,0.089471
11.800417,2.227206,0.061415
11.817639,2.227889,0.052152
11.852083,2.264817,0.081424
11.869306,2.366765,0.06642
11.886481,2.390776,0.080272
11.903657,2.365882,0.06401
11.92088,2.400991,0.059088
11.938102,2.408988,0.065544
11.955324,2.445749,0.038889
11.972546,2.450731,0.047088
11.989769,2.464928,0.058262
12.006898,2.459026,0.057486
12.02412,2.446945,0.059881
12.041343,2.496064,0.031106
12.058565,2.556474,0.059231
12.075787,2.473465,0.051902
12.093009,2.511675,0.046132
12.12162,2.4753,0.030961
12.156065,2.531545,0.054262
12.173287,2.329022,0.053248
12.19338,2.113336,0.093526
12.210556,2.438417,0.066398
12.227731,2.492226,0.057035
12.244954,2.529942,0.039238
12.262176,2.578408,0.052791
12.279398,2.564109,0.056416
12.29662,2.559666,0.040445
12.313796,2.471276,0.042824
12.460046,2.639476,0.047501
12.477269,2.614191,0.039624
12.494491,2.591312,0.050461
12.511713,2.682717,0.045998
12.528889,2.529424,0.082579
12.546065,2.623726,0.045378
12.563287,2.66591,0.06746
12.580509,2.70328,0.054362
12.597731,2.599041,0.079452
12.614954,2.665635,0.05289
12.632176,2.602497,0.049882
12.649306,2.192792,0.069798
12.666528,2.565841,0.067841
12.68375,2.510078,0.054146
12.700972,2.498904,0.065207
12.752593,2.614987,0.057743
12.769769,2.39136,0.094666
12.804213,2.694923,0.032198
12.821435,2.674353,0.068108
12.838657,2.722418,0.04122
12.855833,2.702538,0.034176
12.873009,2.6457,0.072059
12.885926,2.654627,0.113338
13.030787,2.635585,0.0449
13.048009,2.671746,0.041567
13.065185,2.607877,0.048014
13.082361,2.598215,0.024495
13.099583,2.603079,0.042045
13.116806,2.668239,0.04887
13.134028,2.639896,0.03562
13.15125,2.628325,0.024912
13.168472,2.603504,0.037177
13.185602,2.6847,0.030575
13.202824,2.649803,0.022624
13.220046,2.587013,0.032168
13.237269,2.591989,0.035324
13.254491,2.606488,0.03005
13.271713,2.595543,0.043489
13.288889,2.633537,0.019807
13.306065,2.558956,0.040213
13.323287,2.610375,0.059028
13.339056,2.58223,0.064238
13.475324,2.514713,0.050927
13.492546,2.605247,0.048233
13.509676,2.634796,0.07466
13.526898,2.703701,0.051761
13.54412,2.611027,0.024071
13.561343,2.481914,0.043599
13.578565,2.582348,0.040749
13.595787,2.64224,0.056386
13.612917,2.601491,0.063856
13.630139,2.676819,0.032929
13.647361,2.600289,0.047586
13.664583,2.563851,0.04187
13.681806,2.496755,0.034024
13.699028,2.593128,0.041667
13.716204,2.61395,0.028082
13.73338,2.588727,0.031679
13.750602,2.641338,0.029295
13.785046,2.570648,0.035634
13.802269,2.591225,0.040781
13.819444,2.569256,0.030674
13.83662,2.565337,0.034388
13.849537,2.558801,0.034475
13.991528,2.563053,0.044062
14.00875,2.658528,0.052773
14.043148,2.542275,0.038932
14.060324,2.606772,0.043365
14.077546,2.466949,0.035255
14.094769,2.347591,0.075461
14.111991,2.483249,0.062936
14.129213,2.609903,0.036513
14.146389,2.603914,0.080134
14.163565,2.551116,0.063306
14.20662,2.577858,0.055892
14.223843,2.612158,0.055366
14.241065,2.455315,0.034497
14.309861,2.460647,0.044861
14.327083,2.560471,0.039789
14.344306,2.526341,0.055765
14.361481,2.55235,0.0485
14.378657,2.582444,0.063289
14.39588,2.611391,0.050837
14.413102,2.611878,0.045257
14.625324,2.402268,0.042933
14.642546,2.390091,0.053998
14.728565,2.309594,0.059337
14.745787,2.08036,0.091175
14.763009,2.166757,0.050145
14.797361,2.413399,0.061551
14.814583,2.215151,0.057445
14.849028,2.326674,0.059596
14.883472,2.384377,0.099889
14.897778,2.396099,0.074045
15.11,2.413055,0.045968
15.16162,2.434355,0.051895
15.178843,2.323361,0.045239
15.196065,2.260828,0.045784
15.213287,2.358539,0.062344
15.230417,2.510294,0.024944
15.247639,2.474165,0.058573
15.264861,2.329021,0.048348
15.282083,2.435774,0.031552
15.299306,2.356582,0.072762
15.316528,2.476187,0.063535
15.333704,2.47593,0.043148
15.35088,2.450879,0.035662
15.363796,2.415614,0.080513
15.508657,2.466954,0.035815
15.52588,2.462859,0.038247
15.543056,2.373851,0.054502
15.560231,2.464397,0.02716
15.577454,2.49978,0.030926
15.594676,2.523731,0.042335
15.611898,2.418776,0.032175
15.62912,2.370696,0.059573
15.646296,2.421525,0.0324
15.663472,2.438619,0.033007
15.680694,2.4235,0.024038
15.697917,2.440975,0.026425
15.713722,2.35011,0.050878
