time,amp,sigma
10.978935,2.186775,0.036271
11.013287,2.215596,0.039907
11.064954,2.233625,0.037473
11.082176,2.204378,0.041734
11.099352,2.207711,0.027166
11.150972,2.217962,0.03689
11.168194,2.254261,0.025825
11.179722,2.156861,0.058829
11.320185,2.253689,0.038893
11.354583,2.338913,0.058172
11.371806,2.26409,0.051474
11.389028,2.288114,0.049632
11.40625,2.361922,0.031572
11.423472,2.330157,0.038164
11.440602,2.336385,0.029158
11.492269,2.364778,0.042138
11.509491,2.395968,0.050513
11.526713,2.465816,0.038376
11.540972,2.469485,0.046058
11.770417,2.593206,0.054735
11.787639,2.624244,0.024262
11.804861,2.612567,0.048778
11.822083,2.578956,0.03756
11.839306,2.604282,0.040569
11.856528,2.615778,0.038639
11.873657,2.593461,0.058964
11.925324,2.636129,0.041436
11.942546,2.68077,0.047693
11.959769,2.660991,0.039585
11.976898,2.638521,0.053194
11.992667,2.654818,0.047927
12.031435,2.67219,0.046183
12.048657,2.658575,0.03755
12.06588,2.648118,0.030829
12.083009,2.666684,0.038862
12.100231,2.692456,0.046546
12.117454,2.663098,0.062737
12.134676,2.684528,0.048253
12.151898,2.675619,0.038574
12.18625,2.676772,0.055893
12.203472,2.67685,0.04249
12.220694,2.679005,0.064354
12.237917,2.678736,0.059936
12.255139,2.647559,0.053776
12.272361,2.643683,0.06057
12.289537,2.668522,0.049386
12.306713,2.678749,0.04039
12.323935,2.632735,0.053981
12.341157,2.596773,0.051335
12.35838,2.598637,0.051852
12.392778,2.607654,0.063308
12.409954,2.548533,0.059529
12.424306,2.581438,0.050118
12.570602,2.558052,0.057489
12.605046,2.572228,0.073066
12.622176,2.595679,0.039623
12.639398,2.564265,0.056343
12.65662,2.562876,0.047657
12.673843,2.536866,0.069734
12.691065,2.568028,0.04718
12.708287,2.582308,0.041591
12.725417,2.569307,0.048856
12.742639,2.573244,0.052714
12.759861,2.564562,0.056858
12.777083,2.585504,0.049776
12.794306,2.564953,0.040643
12.811528,2.53034,0.047775
12.828704,2.540153,0.043741
12.842986,2.540083,0.05668
12.868843,2.532134,0.042833
12.886065,2.530709,0.040881
12.903287,2.514326,0.046851
12.920509,2.508229,0.050548
12.937639,2.464787,0.045125
12.954861,2.46195,0.050121
12.972083,2.457998,0.053264
12.989306,2.513396,0.060343
13.006528,2.496286,0.057622
13.02375,2.490255,0.068282
13.040926,2.438629,0.032204
13.056667,2.463861,0.068547
13.204398,2.426881,0.044581
13.22162,2.428058,0.054238
13.238843,2.429967,0.045747
13.256019,2.441111,0.021838
13.273194,2.430348,0.070639
13.290417,2.399667,0.048515
13.307639,2.396517,0.043438
13.324861,2.423819,0.035165
13.342083,2.418946,0.049477
13.359306,2.424966,0.042927
13.376435,2.402122,0.039347
13.393657,2.43602,0.035373
13.41088,2.441211,0.053375
13.426667,2.455647,0.026523
13.453935,2.472945,0.046657
13.471111,2.45158,0.046719
13.488287,2.447837,0.050904
13.505509,2.483558,0.050906
13.522731,2.487403,0.046483
13.539954,2.471639,0.040644
13.557176,2.498323,0.034674
13.574352,2.467663,0.030874
13.591528,2.474099,0.044229
13.60875,2.513686,0.019694
13.625972,2.491927,0.047866
13.641778,2.487318,0.048616
13.789444,2.376948,0.038023
13.80662,2.357301,0.045352
13.823843,2.403558,0.029504
13.841065,2.411009,0.038557
13.858287,2.436889,0.035694
13.875509,2.4163,0.030366
13.892731,2.40864,0.026243
13.909861,2.41382,0.028708
13.927083,2.421696,0.023796
13.944306,2.428147,0.029614
13.961528,2.45993,0.037881
13.97875,2.441377,0.038451
13.995972,2.471636,0.025613
14.013148,2.476786,0.028983
14.030324,2.439836,0.029408
14.047546,2.465568,0.018367
14.060463,2.485352,0.038938
14.084861,2.424504,0.035037
14.102083,2.426824,0.021814
14.119259,2.42255,0.015979
14.136435,2.423418,0.019852
14.153657,2.411399,0.022672
14.17088,2.428775,0.021728
14.188102,2.419639,0.027805
14.205324,2.454261,0.018338
14.2225,2.455798,0.020562
14.239676,2.484019,0.022301
14.256898,2.51942,0.027642
14.27412,2.498212,0.020017
14.420417,2.558499,0.014029
14.437593,2.572493,0.036497
14.454769,2.569953,0.032273
14.471991,2.656125,0.023711
14.489213,2.583986,0.020058
14.506435,2.603796,0.011988
14.523657,2.597527,0.016827
14.54088,2.584455,0.022772
14.558009,2.585412,0.045366
14.575231,2.597935,0.024607
14.592454,2.561493,0.014063
14.609676,2.553023,0.016719
14.626898,2.541788,0.02868
14.642667,2.567337,0.022158
14.669861,2.565711,0.014723
14.687083,2.563593,0.018162
14.704306,2.552426,0.014044
14.721528,2.576249,0.026482
14.73875,2.569655,0.025147
14.755972,2.515065,0.023294
14.773102,2.550198,0.019558
