time,amp,sigma,band
8.4033,2.5959,0.0054,b4
8.4086,2.5952,0.0053,b4
8.4136,2.5939,0.0054,b4
8.4186,2.5963,0.0053,b4
8.4236,2.592,0.0053,b4
8.4286,2.5907,0.0056,b4
8.4339,2.5862,0.0054,b4
8.4389,2.5751,0.0055,b4
8.4439,2.5813,0.0056,b4
8.4489,2.5784,0.0054,b4
8.4539,2.5737,0.0054,b4
8.4589,2.5695,0.0054,b4
8.4642,2.5664,0.0057,b4
8.4692,2.5649,0.0054,b4
8.4742,2.5592,0.0054,b4
8.4792,2.5585,0.0054,b4
8.4842,2.5527,0.0055,b4
8.4894,2.5533,0.0055,b4
8.4944,2.5567,0.0054,b4
8.4989,2.5499,0.0058,b4
8.5044,2.5548,0.0056,b4
8.5094,2.5523,0.0057,b4
8.5136,2.5522,0.0055,b4
8.5197,2.5495,0.0056,b4
8.5242,2.5528,0.0056,b4
8.5297,2.5513,0.0056,b4
8.5342,2.5518,0.0063,b4
8.5867,2.5768,0.0057,b4
8.5919,2.5843,0.0061,b4
8.5969,2.5891,0.0058,b4
8.6019,2.5939,0.0059,b4
8.6069,2.5958,0.0058,b4
8.6119,2.5986,0.0058,b4
8.6172,2.605,0.006,b4
8.6222,2.6107,0.0058,b4
8.6272,2.6193,0.006,b4
8.6322,2.6214,0.006,b4
8.6372,2.6314,0.0061,b4
8.6422,2.6369,0.0064,b4
8.6469,2.6418,0.0063,b4
8.6525,2.6425,0.0064,b4
8.6575,2.6505,0.0059,b4
8.6625,2.6461,0.0058,b4
8.6675,2.6511,0.0058,b4
8.6728,2.6618,0.006,b4
8.6778,2.6621,0.0056,b4
8.6828,2.6689,0.0058,b4
8.6878,2.6702,0.0058,b4
8.6928,2.6762,0.0058,b4
8.6981,2.677,0.006,b4
8.7031,2.6774,0.0059,b4
8.7081,2.6818,0.0059,b4
8.7131,2.6819,0.0059,b4
8.7181,2.6761,0.006,b4
8.9033,2.6004,0.0058,b4
8.9086,2.5995,0.0057,b4
8.9136,2.5973,0.0058,b4
8.9186,2.5946,0.0057,b4
8.9236,2.5886,0.0055,b4
8.9286,2.5856,0.0056,b4
8.9339,2.5803,0.0057,b4
8.9389,2.5783,0.0057,b4
8.9439,2.5741,0.0056,b4
8.9489,2.5691,0.0057,b4
8.9539,2.5658,0.0056,b4
8.9589,2.5614,0.0056,b4
8.9636,2.5574,0.0056,b4
8.9692,2.5519,0.0055,b4
8.9742,2.5471,0.0056,b4
8.9792,2.5464,0.0055,b4
8.9842,2.542,0.0057,b4
8.9894,2.5401,0.0057,b4
8.9944,2.5356,0.0056,b4
8.9994,2.5329,0.0055,b4
9.0044,2.5303,0.0056,b4
9.0094,2.5285,0.0056,b4
9.0147,2.5209,0.0055,b4
9.0197,2.5191,0.0054,b4
9.0247,2.5184,0.0057,b4
9.0297,2.5187,0.0057,b4
9.0347,2.5182,0.0055,b4
9.0867,2.4978,0.006,b4
9.0919,2.498,0.0059,b4
9.0969,2.493,0.0058,b4
9.1019,2.4927,0.0058,b4
9.1069,2.488,0.0057,b4
9.1119,2.4842,0.0057,b4
9.1172,2.4842,0.0057,b4
9.1222,2.484,0.0058,b4
9.1272,2.4787,0.0056,b4
9.1322,2.4777,0.0057,b4
9.1372,2.4694,0.0056,b4
9.1422,2.4714,0.0056,b4
9.1475,2.4652,0.0055,b4
9.1525,2.4646,0.0056,b4
9.1575,2.4616,0.0055,b4
9.1625,2.4553,0.0055,b4
9.1675,2.457,0.0055,b4
9.1728,2.4533,0.0057,b4
9.1778,2.4526,0.0056,b4
9.1828,2.4524,0.0055,b4
9.1878,2.4557,0.0055,b4
9.1928,2.4521,0.0056,b4
9.1981,2.4515,0.0056,b4
9.2031,2.4447,0.0055,b4
9.2081,2.4489,0.0055,b4
9.2131,2.4444,0.0054,b4
9.2181,2.4441,0.0054,b4
9.4367,2.4979,0.0053,b4
9.4419,2.4893,0.0052,b4
9.4469,2.4994,0.0052,b4
9.4519,2.5096,0.0052,b4
9.4569,2.5133,0.005,b4
9.4619,2.5117,0.0052,b4
9.4672,2.5234,0.0051,b4
9.4722,2.523,0.005,b4
9.4772,2.5297,0.0051,b4
9.4822,2.5395,0.0051,b4
9.4872,2.543,0.0052,b4
9.4922,2.5431,0.0052,b4
9.4975,2.5477,0.0053,b4
9.5025,2.5551,0.0052,b4
9.5075,2.5583,0.005,b4
9.5125,2.563,0.0051,b4
9.5175,2.5663,0.005,b4
9.5228,2.5713,0.0051,b4
9.5278,2.5742,0.005,b4
9.5328,2.5765,0.0049,b4
9.5378,2.5791,0.0054,b4
9.5422,2.5844,0.0053,b4
9.5481,2.5879,0.005,b4
9.5531,2.5971,0.005,b4
9.5575,2.599,0.005,b4
9.5631,2.6068,0.005,b4
9.5681,2.6075,0.005,b4
9.9394,2.6476,0.0053,b4
9.9444,2.6519,0.0052,b4
9.9494,2.6536,0.0052,b4
9.9544,2.6519,0.0053,b4
9.9933,2.6655,0.0051,b4
9.9983,2.661,0.0053,b4
10.0033,2.6636,0.0052,b4
10.0086,2.6652,0.0052,b4
10.0136,2.6637,0.0053,b4
10.0186,2.6618,0.0054,b4
10.0236,2.6609,0.0053,b4
10.0286,2.6624,0.0051,b4
10.0339,2.6624,0.0053,b4
10.0389,2.6653,0.0053,b4
10.0439,2.6573,0.0052,b4
10.0489,2.6537,0.0051,b4
10.0539,2.6539,0.0052,b4
10.0589,2.6492,0.0052,b4
10.0642,2.6542,0.0051,b4
