time,amp,sigma,band
9.0033,1.6186,0.006,b3
9.0086,1.6173,0.0058,b3
9.0136,1.6268,0.0056,b3
9.0186,1.6059,0.0062,b3
9.0236,1.6435,0.0048,b3
9.0692,1.6079,0.005,b3
9.0742,1.5631,0.0067,b3
9.0792,1.5869,0.0048,b3
9.0842,1.5723,0.0047,b3
9.0894,1.6119,0.0044,b3
9.0944,1.6025,0.0044,b3
9.0994,1.611,0.0041,b3
9.3419,1.6008,0.004,b3
9.3469,1.5923,0.0046,b3
9.4175,1.6716,0.0039,b3
9.4228,1.68,0.0037,b3
9.4278,1.6564,0.0041,b3
9.4328,1.6524,0.0053,b3
9.4367,1.6973,0.004,b3
9.4428,1.7159,0.0038,b3
9.4481,1.715,0.0045,b3
9.4833,1.7169,0.0042,b3
9.4872,1.6896,0.0061,b3
9.9033,1.7875,0.0039,b3
9.9086,1.793,0.0037,b3
9.9136,1.795,0.0039,b3
9.9186,1.7885,0.0038,b3
9.9236,1.7879,0.004,b3
9.9286,1.7847,0.004,b3
9.9339,1.7693,0.0045,b3
9.9378,1.7855,0.0042,b3
9.9433,1.7767,0.0044,b3
9.9489,1.7913,0.0039,b3
9.9539,1.7929,0.0044,b3
9.9842,1.8059,0.0041,b3
9.9983,1.8174,0.0042,b3
10.0033,1.8007,0.0046,b3
10.0094,1.8238,0.0038,b3
10.0147,1.8397,0.0044,b3
10.0197,1.8398,0.0042,b3
10.0247,1.8514,0.0043,b3
10.0297,1.8376,0.0043,b3
10.0347,1.8558,0.004,b3
10.0594,1.8825,0.0039,b3
10.12,1.9498,0.0044,b3
10.1253,1.9744,0.0044,b3
10.1303,1.9791,0.0041,b3
10.1353,1.991,0.0047,b3
10.1403,2.0014,0.0042,b3
10.1453,2.0023,0.0043,b3
10.1639,2.0149,0.0046,b3
10.175,2.0435,0.0038,b3
10.1808,2.0583,0.0038,b3
10.1847,2.052,0.0043,b3
10.1908,2.0623,0.0044,b3
10.1958,2.0743,0.0044,b3
10.2008,2.0867,0.0039,b3
10.2061,2.0858,0.0042,b3
10.2111,2.0858,0.0044,b3
10.2161,2.0935,0.0043,b3
10.2211,2.1101,0.0039,b3
10.2261,2.1107,0.0037,b3
10.2464,2.1133,0.0041,b3
10.2514,2.1232,0.0043,b3
10.3033,2.1422,0.004,b3
10.3086,2.1775,0.0045,b3
10.3136,2.1641,0.0045,b3
10.3186,2.1487,0.0047,b3
10.3225,2.159,0.005,b3
10.3275,2.1727,0.0045,b3
10.3339,2.1913,0.0043,b3
10.3383,2.1883,0.0043,b3
10.3439,2.1999,0.004,b3
10.3489,2.2123,0.0042,b3
10.3539,2.2142,0.0044,b3
10.3589,2.202,0.0043,b3
10.3636,2.2185,0.0039,b3
10.3692,2.2254,0.004,b3
10.3742,2.2354,0.0041,b3
10.3792,2.2141,0.0047,b3
10.3842,2.2145,0.0053,b3
10.3878,2.2408,0.0043,b3
10.3939,2.2506,0.0043,b3
10.3989,2.2563,0.0041,b3
10.4044,2.2651,0.0039,b3
10.4094,2.2638,0.004,b3
10.4142,2.2631,0.0044,b3
10.4197,2.2589,0.0044,b3
10.4247,2.2912,0.004,b3
10.4297,2.2818,0.0044,b3
10.4347,2.2915,0.0038,b3
10.44,2.2856,0.0039,b3
10.445,2.2781,0.0048,b3
10.45,2.2897,0.0049,b3
10.455,2.2809,0.005,b3
10.46,2.305,0.0044,b3
10.4647,2.3023,0.0049,b3
10.72,2.3358,0.0044,b3
10.7253,2.3464,0.0041,b3
10.7303,2.358,0.0046,b3
10.7347,2.3519,0.0046,b3
10.7403,2.3217,0.0051,b3
10.7453,2.3603,0.0046,b3
10.7506,2.348,0.0042,b3
10.7556,2.3768,0.0038,b3
10.7606,2.3855,0.0041,b3
10.7656,2.3839,0.0038,b3
10.7706,2.396,0.0041,b3
10.7756,2.3988,0.0047,b3
10.7797,2.4013,0.0046,b3
10.7853,2.3801,0.0047,b3
10.7897,2.4052,0.004,b3
10.7947,2.4124,0.0051,b3
10.8008,2.4303,0.0041,b3
10.8061,2.4293,0.0045,b3
10.8111,2.4269,0.0042,b3
10.8161,2.4306,0.004,b3
10.8211,2.4325,0.0042,b3
10.8256,2.4346,0.0042,b3
10.8314,2.4349,0.0044,b3
10.8867,2.4398,0.004,b3
10.8919,2.3873,0.0063,b3
10.8969,2.4475,0.0041,b3
10.9019,2.4531,0.0038,b3
10.9064,2.4652,0.0037,b3
10.9119,2.4695,0.0038,b3
10.9167,2.4656,0.0039,b3
10.9222,2.4701,0.0047,b3
10.9272,2.3827,0.0064,b3
10.9322,2.431,0.0058,b3
10.9372,2.4432,0.0043,b3
10.9422,2.474,0.0038,b3
10.9475,2.4649,0.0043,b3
10.9508,2.4925,0.0037,b3
10.9569,2.4955,0.0038,b3
10.9619,2.4911,0.0048,b3
10.9658,2.4767,0.0041,b3
10.9728,2.4874,0.0044,b3
10.9778,2.4463,0.0055,b3
10.9822,2.4805,0.0042,b3
10.9878,2.4839,0.004,b3
10.9928,2.4787,0.0041,b3
10.9981,2.4828,0.0038,b3
11.0031,2.4746,0.0039,b3
11.0075,2.4498,0.0046,b3
11.0131,2.4477,0.0047,b3
11.0181,2.4459,0.0048,b3
11.0233,2.4345,0.0043,b3
11.0283,2.432,0.0049,b3
11.0328,2.3913,0.0046,b3
11.0372,2.3935,0.0075,b3
11.0428,2.3884,0.0056,b3
11.0481,2.4249,0.0043,b3
11.1033,2.3067,0.0054,b3
11.1086,2.3363,0.004,b3
