time,amp,sigma
10.978935,2.204395,0.034115
11.013287,2.17418,0.023682
11.064954,2.217968,0.035145
11.082176,2.195721,0.020888
11.099352,2.180536,0.031509
11.150972,2.1936,0.049756
11.168194,2.206988,0.029565
11.179722,2.166615,0.03791
11.320185,2.292382,0.03776
11.354583,2.304213,0.041641
11.371806,2.266216,0.043181
11.389028,2.274314,0.032432
11.40625,2.332336,0.030203
11.423472,2.323386,0.044606
11.440602,2.375497,0.052472
11.492269,2.360021,0.047349
11.509491,2.415811,0.037295
11.526713,2.475601,0.045206
11.540972,2.41825,0.047806
11.770417,2.567322,0.037253
11.787639,2.609225,0.031942
11.804861,2.622583,0.054511
11.822083,2.581523,0.052287
11.839306,2.632881,0.04884
11.856528,2.627606,0.055324
11.873657,2.618838,0.043672
11.925324,2.643204,0.029719
11.942546,2.646531,0.055617
11.959769,2.6156,0.058622
11.976898,2.645139,0.043465
11.992667,2.648086,0.049684
12.031435,2.686551,0.054432
12.048657,2.69738,0.048965
12.06588,2.655941,0.042318
12.083009,2.663062,0.045607
12.100231,2.672502,0.054576
12.117454,2.686886,0.053511
12.134676,2.67553,0.092342
12.151898,2.697601,0.065432
12.18625,2.691993,0.051146
12.203472,2.720902,0.059928
12.220694,2.668341,0.034221
12.237917,2.704708,0.061876
12.255139,2.670922,0.05598
12.272361,2.661325,0.067454
12.289537,2.6523,0.041523
12.306713,2.64148,0.055163
12.323935,2.650348,0.068327
12.341157,2.617068,0.052385
12.35838,2.617666,0.057824
12.392778,2.554918,0.087104
12.409954,2.568396,0.066371
12.424306,2.560871,0.080666
12.570602,2.544868,0.049841
12.605046,2.586785,0.061175
12.622176,2.564411,0.056733
12.639398,2.599696,0.04965
12.65662,2.58305,0.052474
12.673843,2.564008,0.062983
12.691065,2.591567,0.065932
12.708287,2.555321,0.054763
12.725417,2.569932,0.045854
12.742639,2.588577,0.049993
12.759861,2.56078,0.064323
12.777083,2.535589,0.043239
12.794306,2.545129,0.071675
12.811528,2.502909,0.062604
12.828704,2.549261,0.066276
12.842986,2.527894,0.049984
12.868843,2.540523,0.059227
12.886065,2.503341,0.040871
12.903287,2.535598,0.038236
12.920509,2.533769,0.060207
12.937639,2.486694,0.047212
12.954861,2.480425,0.040179
12.972083,2.461032,0.045521
12.989306,2.476578,0.037072
13.006528,2.466842,0.03867
13.02375,2.483656,0.037825
13.040926,2.459167,0.046813
13.056667,2.46398,0.070267
13.204398,2.440123,0.05623
13.22162,2.446406,0.048119
13.238843,2.436182,0.041935
13.256019,2.427462,0.042024
13.273194,2.414278,0.060474
13.290417,2.433064,0.03955
13.307639,2.409343,0.043317
13.324861,2.440846,0.030083
13.342083,2.438191,0.035983
13.359306,2.41207,0.060569
13.376435,2.383034,0.056421
13.393657,2.434864,0.052863
13.41088,2.417014,0.032271
13.426667,2.410609,0.031159
13.453935,2.467777,0.038657
13.471111,2.455739,0.04364
13.488287,2.467846,0.0389
13.505509,2.455711,0.042209
13.522731,2.476488,0.047359
13.539954,2.443174,0.044133
13.557176,2.495225,0.041063
13.574352,2.478627,0.030604
13.591528,2.483155,0.018
13.60875,2.492435,0.031687
13.625972,2.509952,0.021813
13.641778,2.517382,0.034205
13.789444,2.375512,0.039513
13.80662,2.381848,0.032771
13.823843,2.399959,0.053525
13.841065,2.403022,0.028293
13.858287,2.403808,0.034664
13.875509,2.492248,0.032697
13.892731,2.425659,0.042628
13.909861,2.443698,0.035392
13.927083,2.43707,0.036475
13.944306,2.465715,0.024588
13.961528,2.44065,0.035676
13.97875,2.442074,0.030027
13.995972,2.495753,0.04184
14.013148,2.446873,0.028044
14.030324,2.441979,0.050142
14.047546,2.448188,0.043915
14.060463,2.44434,0.034661
14.084861,2.417738,0.031341
14.102083,2.438266,0.028875
14.119259,2.39135,0.034993
14.136435,2.41852,0.047791
14.153657,2.372448,0.038931
14.17088,2.423325,0.02685
14.188102,2.403757,0.024848
14.205324,2.439307,0.025753
14.2225,2.437762,0.020067
14.239676,2.477498,0.030347
14.256898,2.489874,0.015184
14.27412,2.469474,0.034956
14.420417,2.530369,0.027053
14.437593,2.565262,0.038096
14.454769,2.560129,0.04504
14.471991,2.579914,0.022907
14.489213,2.584954,0.02889
14.506435,2.55008,0.018573
14.523657,2.586703,0.025109
14.54088,2.595562,0.024542
14.558009,2.556331,0.025922
14.575231,2.546859,0.028353
14.592454,2.544645,0.016864
14.609676,2.53449,0.015638
14.626898,2.536279,0.022393
14.642667,2.576211,0.032614
14.669861,2.53013,0.015244
14.687083,2.555455,0.0227
14.704306,2.531352,0.028922
14.721528,2.565621,0.018934
14.73875,2.557178,0.022413
14.755972,2.531913,0.025483
14.773102,2.520379,0.026769
