time,amp,sigma
10.920139,2.360869,0.088261
10.954583,2.510031,0.076137
10.971759,2.55356,0.062615
10.9875,2.621845,0.084168
11.092176,2.438531,0.06188
11.109398,2.472443,0.081747
11.12662,2.481403,0.077489
11.143843,2.477938,0.066441
11.178287,2.501897,0.070161
11.195417,2.436219,0.04911
11.212639,2.323321,0.077285
11.229861,2.37522,0.073759
11.247083,2.285656,0.09731
11.264306,2.322218,0.073355
11.281528,2.320273,0.059221
11.298704,2.281193,0.073261
11.333102,2.282263,0.082247
11.384769,2.221736,0.061635
11.401944,2.199677,0.078068
11.41912,2.198717,0.057742
11.436343,2.24752,0.062871
11.453565,2.218695,0.052791
11.470787,2.171902,0.040696
11.488009,2.203484,0.04536
11.522361,2.10607,0.073663
11.539583,2.110721,0.085391
11.556806,2.278202,0.070974
11.574028,2.196408,0.046579
11.59125,2.188003,0.062587
11.608472,2.192075,0.041136
11.625602,2.228262,0.035639
11.642824,2.166044,0.051462
11.660046,2.087624,0.047755
11.677269,2.116008,0.050275
11.694491,2.215611,0.058476
11.711713,2.121788,0.062013
11.728843,2.121905,0.071148
11.746065,2.139827,0.031502
11.763287,2.188778,0.056037
11.780509,2.229259,0.058748
11.797731,2.178391,0.083597
11.8135,2.18566,0.067537
11.852176,2.247577,0.040134
11.869398,2.316785,0.056096
11.88662,2.312675,0.043479
11.903843,2.283133,0.061333
11.921065,2.280091,0.063191
11.938241,2.323311,0.059414
11.955417,2.302865,0.059965
11.972639,2.318385,0.046501
11.989861,2.384905,0.031448
12.018565,2.374923,0.042858
12.035787,2.362352,0.048737
12.052917,2.394956,0.036864
12.070139,2.325506,0.054055
12.087361,2.342254,0.039989
12.104583,2.353477,0.057031
12.118958,2.354758,0.030133
12.187731,2.296968,0.036829
12.204954,2.275408,0.052281
12.222176,2.258291,0.056937
12.239398,2.286999,0.041259
12.256574,2.334054,0.0538
12.27375,2.245634,0.065196
12.290972,2.311383,0.049059
12.308194,2.32741,0.059788
12.325417,2.267405,0.059089
12.342639,2.325908,0.04121
12.359861,2.270884,0.056535
12.376991,2.309664,0.060114
12.392778,2.345068,0.05933
12.417176,2.311825,0.03252
12.434398,2.345157,0.043375
12.45162,2.344627,0.048625
12.468796,2.321986,0.038171
12.485972,2.328644,0.03594
12.503194,2.290205,0.046742
12.520417,2.386498,0.047995
12.537639,2.332468,0.039786
12.554861,2.400233,0.055639
12.572083,2.369411,0.051116
12.589259,2.368378,0.043007
12.606435,2.370597,0.05791
12.787176,2.450283,0.040601
12.804306,2.473249,0.023065
12.821528,2.491553,0.032894
12.83875,2.481582,0.04482
12.855972,2.512072,0.031631
12.873194,2.511818,0.043959
12.890417,2.555051,0.045343
12.907593,2.569474,0.051905
12.924769,2.601612,0.039099
12.950602,2.601069,0.038219
12.967824,2.646056,0.04723
12.985046,2.670024,0.043456
13.002269,2.690541,0.047512
13.019398,2.760939,0.039476
13.03662,2.71104,0.026367
13.053843,2.788361,0.04068
13.071065,2.816516,0.038244
13.088287,2.781289,0.033299
13.105509,2.828454,0.037723
13.122685,2.839522,0.045692
13.139861,2.856055,0.036456
13.286157,2.912405,0.039416
13.30338,2.924406,0.044837
13.320602,2.867949,0.05029
13.337778,2.9166,0.041276
13.354954,2.878508,0.037456
13.372176,2.917893,0.036108
13.389398,2.896396,0.055859
13.40662,2.943313,0.03882
13.423843,2.910851,0.048685
13.441019,2.880877,0.050073
13.458194,2.859675,0.037061
13.475417,2.887995,0.031611
13.492639,2.861883,0.041718
13.509861,2.890522,0.034634
13.525667,2.911345,0.042788
13.55287,2.912797,0.056363
13.570046,2.907976,0.038358
13.587269,2.894137,0.036543
13.604491,2.91817,0.03973
13.621713,2.970124,0.031494
13.638935,2.930446,0.036586
13.656111,2.942598,0.041935
13.673287,2.863038,0.047118
13.690509,2.87435,0.061611
13.707731,2.90377,0.05648
13.7235,2.849914,0.033802
13.868333,2.936391,0.036223
13.885509,2.917343,0.044293
13.902731,2.911271,0.052494
13.919954,2.906482,0.036506
13.937176,2.933102,0.045276
13.954398,2.926651,0.046121
13.97162,2.959106,0.034889
13.98875,2.931604,0.042518
14.005972,2.93432,0.044375
14.023194,2.96427,0.043409
14.040417,2.964347,0.042883
14.06912,2.946685,0.047125
14.086296,2.930924,0.050305
14.103472,2.904681,0.053233
14.120694,2.926177,0.039902
14.137917,2.936607,0.040086
14.155139,2.926893,0.028855
14.172361,2.897505,0.061658
14.189583,2.91175,0.043164
14.206713,2.845594,0.060407
14.223935,2.947985,0.042494
14.241157,2.934485,0.043648
14.25838,2.847902,0.058554
14.284213,2.874204,0.044963
14.301389,2.907669,0.032441
14.318565,2.877055,0.046546
14.335787,2.866992,0.050178
14.353009,2.923102,0.050057
14.370231,2.877225,0.048731
14.387454,2.92155,0.043922
14.40463,2.916697,0.041446
14.421806,2.899495,0.048104
14.439028,2.899424,0.025915
14.585324,2.846004,0.043749
14.602546,2.867153,0.0479
14.619769,2.810293,0.043076
14.636898,2.825387,0.050366
14.65412,2.835621,0.036385
14.671343,2.848339,0.038133
14.688565,2.786209,0.040207
14.705787,2.807025,0.041543
14.723009,2.790461,0.037383
14.740139,2.75033,0.030537
14.757361,2.774136,0.041709
14.774583,2.775639,0.032961
14.791806,2.781262,0.04293
14.809028,2.787463,0.040915
14.824833,2.782563,0.031149
14.851991,2.841314,0.030467
14.869213,2.771409,0.053391
14.886435,2.836646,0.03895
14.903657,2.798637,0.043177
14.92088,2.829366,0.038074
14.938102,2.788343,0.046917
14.955231,2.856025,0.047537
14.972454,2.816712,0.038707
14.989676,2.83179,0.044257
15.006898,2.833481,0.03498
